City Name,Country,Lat,Lng,temp,max_temp,clouds,humidity,wind_speed
Longyearbyen,SJ,78.22317220000001,15.6267229,23,23,40,73,13.87
Geresk,AF,31.8299494,64.5681086,,,,,
Pevek,RU,69.692947,170.399612,25.57,25.57,88,86,15.46
Ushuaia,AR,-54.8019121,-68.3029511,33.8,33.8,75,100,24.16
Hobart,AU,41.5322592,-87.2550353,59,59,0,77,6.93
Mungwi,ZM,-10.1683268,31.3484448,78.98,78.98,88,30,7.4
Cape Town,ZA,-33.9248685,18.4240553,60.8,60.8,20,87,10.29
Kruisfontein,ZA,-33.9843356,24.732102,60.94,60.94,0,87,7.96
Itaituba,BR,-4.2670701,-55.99311729999999,93.2,93.2,20,49,5.82
Barentsburg,SJ,78.0648475,14.2334597,,,,,
Port Alfred,ZA,-33.5864065,26.8851448,62.47,62.47,0,88,6.17
Cape Town,ZA,-33.9248685,18.4240553,60.8,60.8,20,87,10.29
Waddan,LY,29.1560917,16.1463317,48.11,48.11,8,67,3.15
Busselton,AU,-33.6554927,115.3500188,61.12,61.12,76,100,10.87
Boa Vista,BR,16.0950108,-22.8078335,96.8,96.8,40,34,9.17
Upernavik,GL,72.7862882,-56.1375527,8.65,8.65,0,100,13.78
Nanortalik,GL,60.1424955,-45.2394951,28.58,28.58,24,98,31.12
Norman Wells,CA,65.28149379999999,-126.8286524,-5.81,-5.81,90,76,8.05
Jamestown,SH,37.2082678,-76.77408969999999,68.05,68.05,64,100,15.79
Constitucion,MX,-33.6022037,-61.0471355,,,,,
Amlame,TG,7.456151199999999,0.9032768999999999,77.14,77.14,24,87,3.94
Punta Arenas,CL,-53.1638329,-70.9170683,41.32,41.32,36,99,36.04
Celestun,MX,20.8593042,-90.3972052,78.26,78.26,0,100,5.95
Bambous Virieux,MU,-20.3438619,57.7636821,77,77,75,83,5.82
Khonuu,RU,66.455612,143.2225799,,,,,
Tuktoyaktuk,CA,69.445358,-133.034181,3.2,3.2,90,84,9.17
Dunedin,NZ,-45.8787605,170.5027976,40.01,40.01,0,89,3.38
Shenjiamen,CN,30.00955429999999,122.1155941,56.39,56.39,56,100,20.15
Ushuaia,AR,-54.8019121,-68.3029511,33.8,33.8,75,100,24.16
Ribeira Grande,PT,37.8210369,-25.5148137,68,68,75,94,4.7
Taolanaro,MG,-25.0225309,46.9853688,,,,,
Bend,US,44.0581728,-121.3153096,41.92,42.8,1,44,6.93
Taolanaro,MG,-25.0225309,46.9853688,,,,,
Arraial Do Cabo,BR,-22.9657374,-42.02798689999999,83.28,84.2,40,70,27.51
